"Totale reizigerskilometers in Nederland per jaar; vervoerwijzen, regio's"
"";"Onderwerpen";"Reizigerskilometers";"Reizigerskilometers";"Reizigerskilometers";"Reizigerskilometers";"Reizigerskilometers";"Reizigerskilometers"
"";"Perioden";"2010";"2011";"2012";"2013";"2014";"2015"
"Vervoerwijzen";"Regio's";"mld km";"mld km";"mld km";"mld km";"mld km";"mld km"
"Lopen";"Flevoland (PV)";"0.1";"0.1";"0.2";"0.1";"0.1";"0.1"
"Lopen";"Gelderland (PV)";"0.7";"0.6";"0.6";"0.6";"0.6";"0.6"
"Lopen";"Utrecht (PV)";"0.4";"0.4";"0.4";"0.4";"0.4";"0.4"
"Lopen";"Noord-Holland (PV)";"1.0";"1.0";"1.0";"1.0";"1.0";"0.9"
"Lopen";"Zuid-Holland (PV)";"1.2";"1.3";"1.2";"1.2";"1.3";"1.2"
"Lopen";"Zeeland (PV)";"0.1";"0.1";"0.1";"0.1";"0.1";"0.1"
"Lopen";"Noord-Brabant (PV)";"0.8";"0.8";"0.7";"0.8";"0.8";"0.7"
"Lopen";"Limburg (PV)";"0.4";"0.4";"0.4";"0.4";"0.4";"0.4"
"Overige vervoerwijze";"Nederland";"8.7";"10.3";"10.7";"9.9";"11.2";"10.0"
"Overige vervoerwijze";"Groningen (PV)";"0.3";"0.4";"0.3";"0.4";"0.4";"0.3"
"Overige vervoerwijze";"Friesland (PV)";"0.3";"0.3";"0.5";"0.3";"0.6";"0.4"
"Overige vervoerwijze";"Drenthe (PV)";"0.3";"0.4";"0.3";"0.5";"0.5";"0.6"
"Overige vervoerwijze";"Overijssel (PV)";"0.6";"0.6";"0.9";"0.5";"0.9";"0.7"
"Overige vervoerwijze";"Flevoland (PV)";"0.3";"0.2";"0.3";"0.3";"0.2";"0.1"
"Overige vervoerwijze";"Gelderland (PV)";"1.1";"1.3";"1.6";"1.2";"1.9";"1.5"
"Overige vervoerwijze";"Utrecht (PV)";"0.4";"0.9";"0.7";"0.7";"0.8";"0.6"
"Overige vervoerwijze";"Noord-Holland (PV)";"1.6";"1.7";"1.6";"1.7";"1.9";"1.3"
"Overige vervoerwijze";"Zuid-Holland (PV)";"1.7";"2.4";"1.9";"1.6";"1.6";"1.8"
"Overige vervoerwijze";"Zeeland (PV)";"0.3";"0.3";"0.2";"0.3";"0.3";"0.2"
"Overige vervoerwijze";"Noord-Brabant (PV)";"1.3";"1.1";"1.5";"1.7";"1.5";"1.6"
"Overige vervoerwijze";"Limburg (PV)";"0.6";"0.6";"0.8";"0.7";"0.7";"0.7"
"© Centraal Bureau voor de Statistiek, Den Haag/Heerlen 14-10-2017"
